comuna,year,semestre,n_victimas,habitantes,tasa_homicidios,tasa_homicidio_anterior
1,2016,1er Semestre,12,252053,4.760903460780074,0.0
2,2016,1er Semestre,1,149848,0.6673429074795794,4.760903460780074
3,2016,1er Semestre,4,192573,2.0771343854018998,0.6673429074795794
4,2016,1er Semestre,7,238303,2.9374367926547293,2.0771343854018998
6,2016,1er Semestre,2,184611,1.083359063111082,2.9374367926547293
7,2016,1er Semestre,6,240116,2.4987922504123006,1.083359063111082
8,2016,1er Semestre,13,225737,5.7589141345902535,2.4987922504123006
9,2016,1er Semestre,4,170353,2.3480654875464477,5.7589141345902535
10,2016,1er Semestre,3,170163,1.7630154616455986,2.3480654875464477
11,2016,1er Semestre,1,189956,0.5264377013624207,1.7630154616455986
12,2016,1er Semestre,4,213576,1.8728696108176948,0.5264377013624207
13,2016,1er Semestre,3,235819,1.272162124341126,1.8728696108176948
14,2016,1er Semestre,2,226884,0.8815077308227993,1.272162124341126
15,2016,1er Semestre,3,182390,1.6448270190251657,0.8815077308227993
1,2016,2do Semestre,10,252053,3.9674195506500616,1.6448270190251657
3,2016,2do Semestre,4,192573,2.0771343854018998,3.9674195506500616
4,2016,2do Semestre,9,238303,3.776704447698938,2.0771343854018998
5,2016,2do Semestre,3,186740,1.606511727535611,3.776704447698938
6,2016,2do Semestre,1,184611,0.541679531555541,1.606511727535611
7,2016,2do Semestre,5,240116,2.082326875343584,0.541679531555541
8,2016,2do Semestre,7,225737,3.100953764779367,2.082326875343584
9,2016,2do Semestre,8,170353,4.6961309750928955,3.100953764779367
10,2016,2do Semestre,4,170163,2.3506872821941314,4.6961309750928955
11,2016,2do Semestre,5,189956,2.6321885068121036,2.3506872821941314
12,2016,2do Semestre,6,213576,2.8093044162265426,2.6321885068121036
13,2016,2do Semestre,5,235819,2.12027020723521,2.8093044162265426
14,2016,2do Semestre,7,226884,3.085277057879798,2.12027020723521
15,2016,2do Semestre,5,182390,2.741378365041943,3.085277057879798
1,2017,1er Semestre,13,253271,5.132841896624564,2.741378365041943
2,2017,1er Semestre,3,149720,2.003740315255143,5.132841896624564
3,2017,1er Semestre,3,192763,1.5563152679715506,2.003740315255143
4,2017,1er Semestre,8,238809,3.3499574974142514,1.5563152679715506
5,2017,1er Semestre,1,186956,0.5348852136331543,3.3499574974142514
6,2017,1er Semestre,3,184846,1.6229726366813455,0.5348852136331543
7,2017,1er Semestre,5,240607,2.078077528916449,1.6229726366813455
8,2017,1er Semestre,6,226649,2.647265154489982,2.078077528916449
9,2017,1er Semestre,8,170605,4.689194337797837,2.647265154489982
10,2017,1er Semestre,2,170282,1.1745222630694965,4.689194337797837
11,2017,1er Semestre,3,189986,1.5790637204846674,1.1745222630694965
12,2017,1er Semestre,6,213914,2.804865506698954,1.5790637204846674
13,2017,1er Semestre,1,235967,0.4237880720609238,2.804865506698954
14,2017,1er Semestre,5,226944,2.2031866892272984,0.4237880720609238
15,2017,1er Semestre,2,182409,1.0964371275540132,2.2031866892272984
1,2017,2do Semestre,7,253271,2.763837944336304,1.0964371275540132
2,2017,2do Semestre,3,149720,2.003740315255143,2.763837944336304
3,2017,2do Semestre,3,192763,1.5563152679715506,2.003740315255143
4,2017,2do Semestre,9,238809,3.768702184591033,1.5563152679715506
5,2017,2do Semestre,2,186956,1.0697704272663087,3.768702184591033
6,2017,2do Semestre,4,184846,2.1639635155751273,1.0697704272663087
7,2017,2do Semestre,7,240607,2.9093085404830283,2.1639635155751273
8,2017,2do Semestre,8,226649,3.5296868726533095,2.9093085404830283
9,2017,2do Semestre,9,170605,5.275343630022567,3.5296868726533095
10,2017,2do Semestre,1,170282,0.5872611315347482,5.275343630022567
11,2017,2do Semestre,4,189986,2.1054182939795565,0.5872611315347482
12,2017,2do Semestre,4,213914,1.8699103377993027,2.1054182939795565
13,2017,2do Semestre,4,235967,1.6951522882436951,1.8699103377993027
14,2017,2do Semestre,3,226944,1.3219120135363789,1.6951522882436951
15,2017,2do Semestre,3,182409,1.6446556913310197,1.3219120135363789
1,2018,1er Semestre,9,254408,3.5376246029999057,1.6446556913310197
2,2018,1er Semestre,4,149607,2.673671686485258,3.5376246029999057
3,2018,1er Semestre,6,192945,3.109694472518075,2.673671686485258
4,2018,1er Semestre,12,239279,5.015066094391902,3.109694472518075
5,2018,1er Semestre,2,187159,1.0686101122574923,5.015066094391902
6,2018,1er Semestre,3,185067,1.6210345442461378,1.0686101122574923
7,2018,1er Semestre,6,241065,2.488955261029183,1.6210345442461378
8,2018,1er Semestre,2,227495,0.879140200883536,2.488955261029183
9,2018,1er Semestre,4,170842,2.3413446342234345,0.879140200883536
10,2018,1er Semestre,2,170394,1.173750249421928,2.3413446342234345
11,2018,1er Semestre,3,190016,1.5788144156281576,1.173750249421928
12,2018,1er Semestre,2,214229,0.9335804209514118,1.5788144156281576
13,2018,1er Semestre,6,236107,2.541220717725438,0.9335804209514118
14,2018,1er Semestre,1,227003,0.44052281247384395,2.541220717725438
15,2018,1er Semestre,8,182427,4.385315770143674,0.44052281247384395
1,2018,2do Semestre,11,254408,4.323763403666551,4.385315770143674
2,2018,2do Semestre,3,149607,2.0052537648639435,4.323763403666551
3,2018,2do Semestre,6,192945,3.109694472518075,2.0052537648639435
4,2018,2do Semestre,5,239279,2.0896108726632927,3.109694472518075
5,2018,2do Semestre,2,187159,1.0686101122574923,2.0896108726632927
7,2018,2do Semestre,10,241065,4.148258768381972,1.0686101122574923
8,2018,2do Semestre,10,227495,4.395701004417679,4.148258768381972
9,2018,2do Semestre,15,170842,8.78004237833788,4.395701004417679
10,2018,2do Semestre,4,170394,2.347500498843856,8.78004237833788
11,2018,2do Semestre,1,190016,0.5262714718760525,2.347500498843856
12,2018,2do Semestre,5,214229,2.3339510523785294,0.5262714718760525
13,2018,2do Semestre,1,236107,0.423536786287573,2.3339510523785294
14,2018,2do Semestre,3,227003,1.3215684374215317,0.423536786287573
15,2018,2do Semestre,3,182427,1.6444934138038776,1.3215684374215317
1,2019,1er Semestre,9,255457,3.52309782076827,1.6444934138038776
2,2019,1er Semestre,2,149510,1.337703163667982,3.52309782076827
3,2019,1er Semestre,2,193115,1.0356523315123114,1.337703163667982
4,2019,1er Semestre,3,239712,1.2515018021625952,1.0356523315123114
5,2019,1er Semestre,4,187348,2.1350641586779684,1.2515018021625952
6,2019,1er Semestre,2,185271,1.0794997598113034,2.1350641586779684
7,2019,1er Semestre,8,241484,3.312848884398138,1.0794997598113034
8,2019,1er Semestre,5,228266,2.190426958022658,3.312848884398138
9,2019,1er Semestre,4,171062,2.3383334697361193,2.190426958022658
10,2019,1er Semestre,2,170497,1.1730411678797867,2.3383334697361193
11,2019,1er Semestre,4,190046,2.104753585973922,1.1730411678797867
13,2019,1er Semestre,5,236238,2.1165096216527397,2.104753585973922
14,2019,1er Semestre,5,227060,2.202061129216947,2.1165096216527397
15,2019,1er Semestre,2,182445,1.0962207788648635,2.202061129216947
1,2019,2do Semestre,3,255457,1.17436594025609,1.0962207788648635
4,2019,2do Semestre,9,239712,3.754505406487785,1.17436594025609
5,2019,2do Semestre,1,187348,0.5337660396694921,3.754505406487785
7,2019,2do Semestre,3,241484,1.2423183316493018,0.5337660396694921
8,2019,2do Semestre,2,228266,0.876170783209063,1.2423183316493018
9,2019,2do Semestre,5,171062,2.922916837170149,0.876170783209063
10,2019,2do Semestre,6,170497,3.5191235036393604,2.922916837170149
11,2019,2do Semestre,2,190046,1.052376792986961,3.5191235036393604
12,2019,2do Semestre,2,214518,0.9323226955313774,1.052376792986961
13,2019,2do Semestre,5,236238,2.1165096216527397,0.9323226955313774
14,2019,2do Semestre,2,227060,0.8808244516867788,2.1165096216527397
15,2019,2do Semestre,7,182445,3.8367727260270224,0.8808244516867788
1,2020,1er Semestre,5,256405,1.9500399758195042,3.8367727260270224
2,2020,1er Semestre,2,149430,1.3384193267750786,1.9500399758195042
3,2020,1er Semestre,6,193276,3.1043688818063284,1.3384193267750786
4,2020,1er Semestre,1,240100,0.41649312786339027,3.1043688818063284
5,2020,1er Semestre,3,187518,1.5998464147441847,0.41649312786339027
6,2020,1er Semestre,1,185456,0.5392114571650419,1.5998464147441847
7,2020,1er Semestre,1,241861,0.413460624077466,0.5392114571650419
8,2020,1er Semestre,2,228953,0.8735417312723572,0.413460624077466
9,2020,1er Semestre,4,171264,2.3355754857997013,0.8735417312723572
11,2020,1er Semestre,1,190076,0.5261053473347503,2.3355754857997013
13,2020,1er Semestre,1,236358,0.42308701207490335,0.5261053473347503
14,2020,1er Semestre,1,227115,0.4403055720670145,0.42308701207490335
15,2020,1er Semestre,3,182465,1.6441509330556545,0.4403055720670145
1,2020,2do Semestre,5,256405,1.9500399758195042,1.6441509330556545
2,2020,2do Semestre,3,149430,2.0076289901626176,1.9500399758195042
3,2020,2do Semestre,4,193276,2.069579254537553,2.0076289901626176
4,2020,2do Semestre,3,240100,1.2494793835901707,2.069579254537553
6,2020,2do Semestre,1,185456,0.5392114571650419,1.2494793835901707
7,2020,2do Semestre,5,241861,2.06730312038733,0.5392114571650419
8,2020,2do Semestre,5,228953,2.183854328180893,2.06730312038733
9,2020,2do Semestre,3,171264,1.7516816143497758,2.183854328180893
10,2020,2do Semestre,4,170592,2.3447758394297504,1.7516816143497758
11,2020,2do Semestre,4,190076,2.1044213893390014,2.3447758394297504
12,2020,2do Semestre,3,214777,1.396797608682494,2.1044213893390014
13,2020,2do Semestre,2,236358,0.8461740241498067,1.396797608682494
14,2020,2do Semestre,4,227115,1.761222288268058,0.8461740241498067
15,2020,2do Semestre,4,182465,2.192201244074206,1.761222288268058
1,2021,1er Semestre,3,257235,1.1662487608606917,2.192201244074206
2,2021,1er Semestre,1,149371,0.669473994282692,1.1662487608606917
3,2021,1er Semestre,3,193425,1.550988755331524,0.669473994282692
4,2021,1er Semestre,9,240437,3.7431842852805515,1.550988755331524
5,2021,1er Semestre,3,187670,1.5985506474130122,3.7431842852805515
6,2021,1er Semestre,1,185620,0.5387350501023597,1.5985506474130122
7,2021,1er Semestre,3,242188,1.2387071200885262,0.5387350501023597
8,2021,1er Semestre,6,229541,2.6139121115617687,1.2387071200885262
9,2021,1er Semestre,7,171444,4.082965866405357,2.6139121115617687
10,2021,1er Semestre,1,170677,0.5859020254633021,4.082965866405357
11,2021,1er Semestre,1,190105,0.5260250913968596,0.5859020254633021
12,2021,1er Semestre,4,215002,1.8604478097878159,0.5260250913968596
13,2021,1er Semestre,5,236468,2.1144510039413364,1.8604478097878159
14,2021,1er Semestre,3,227168,1.3206085364135793,2.1144510039413364
15,2021,1er Semestre,5,182485,2.739951228868126,1.3206085364135793
1,2021,2do Semestre,6,257235,2.3324975217213835,2.739951228868126
2,2021,2do Semestre,3,149371,2.008421982848076,2.3324975217213835
3,2021,2do Semestre,5,193425,2.584981258885873,2.008421982848076
4,2021,2do Semestre,4,240437,1.6636374601246897,2.584981258885873
5,2021,2do Semestre,1,187670,0.5328502158043374,1.6636374601246897
6,2021,2do Semestre,4,185620,2.1549402004094387,0.5328502158043374
7,2021,2do Semestre,3,242188,1.2387071200885262,2.1549402004094387
8,2021,2do Semestre,1,229541,0.4356520185936282,1.2387071200885262
9,2021,2do Semestre,4,171444,2.333123352231633,0.4356520185936282
10,2021,2do Semestre,1,170677,0.5859020254633021,2.333123352231633
11,2021,2do Semestre,4,190105,2.1041003655874384,0.5859020254633021
12,2021,2do Semestre,3,215002,1.3953358573408619,2.1041003655874384
13,2021,2do Semestre,2,236468,0.8457804015765347,1.3953358573408619
14,2021,2do Semestre,1,227168,0.44020284547119315,0.8457804015765347
